id,hagr_id,senescence_type
1,1,Replicative
2,2,Replicative
3,3,Replicative
4,4,Replicative
5,5,Stress-induced
6,6,Replicative
7,7,Oncogene-induced
8,8,Replicative
9,9,Replicative
10,10,Replicative
11,11,Replicative
12,11,Oncogene-induced
13,12,Replicative
14,13,Stress-induced
15,14,Replicative
16,15,Replicative
17,16,Replicative
18,17,Replicative
19,18,Stress-induced
20,18,Replicative
21,19,Replicative
22,20,Replicative
23,21,Stress-induced
24,22,Replicative
25,23,Oncogene-induced
26,24,Replicative
27,25,Stress-induced
28,26,Replicative
29,27,Replicative
30,28,Replicative
31,29,Replicative
32,30,Replicative
33,31,Replicative
34,32,Replicative
35,33,Replicative
36,34,Replicative
37,35,Replicative
38,36,Replicative
39,37,Replicative
40,38,Replicative
41,39,Replicative
42,40,Replicative
43,41,Replicative
44,42,Replicative
45,43,Replicative
46,44,Stress-induced
47,45,Stress-induced
48,46,Replicative
49,47,Replicative
50,48,Replicative
51,49,Replicative
52,50,Replicative
53,51,Oncogene-induced
54,52,Oncogene-induced
55,53,Replicative
56,54,Replicative
57,55,Replicative
58,56,Oncogene-induced
59,57,Replicative
60,58,Replicative
61,59,Replicative
62,60,Replicative
63,61,Replicative
64,62,Replicative
65,63,Replicative
66,64,Replicative
67,65,Replicative
68,66,Replicative
69,67,Oncogene-induced
70,68,Oncogene-induced
71,69,Replicative
72,70,Replicative
73,71,Stress-induced
74,72,Replicative
75,73,Replicative
76,74,Replicative
77,75,Replicative
78,76,Replicative
79,77,Replicative
80,78,Replicative
81,79,Replicative
82,80,Replicative
83,80,Stress-induced
84,81,Replicative
85,82,Replicative
86,83,Replicative
87,84,Replicative
88,85,Replicative
89,86,Replicative
90,87,Replicative
91,88,Replicative
92,89,Replicative
93,90,Replicative
94,91,Oncogene-induced
95,92,Stress-induced
96,93,Stress-induced
97,94,Replicative
98,95,Stress-induced
99,96,Replicative
100,97,Replicative
101,98,Stress-induced
102,99,Replicative
103,100,Replicative
104,101,Replicative
105,102,Replicative
106,103,Replicative
107,104,Replicative
108,105,Replicative
109,106,Replicative
110,107,Replicative
111,108,Replicative
112,109,Replicative
113,110,Replicative
114,111,Stress-induced
115,112,Stress-induced
116,113,Replicative
117,114,Replicative
118,115,Replicative
119,116,Replicative
120,117,Replicative
121,118,Replicative
122,119,Replicative
123,120,Replicative
124,121,Stress-induced
125,121,Replicative
126,122,Replicative
127,123,Oncogene-induced
128,124,Stress-induced
129,124,Replicative
130,125,Replicative
131,126,Replicative
132,126,Stress-induced
133,127,Replicative
134,128,Replicative
135,129,Oncogene-induced
136,130,Replicative
137,131,Replicative
138,132,Replicative
139,133,Replicative
140,134,Replicative
141,135,Replicative
142,136,Oncogene-induced
143,137,Replicative
144,138,Stress-induced
145,138,Replicative
146,139,Replicative
147,140,Replicative
148,141,Stress-induced
149,142,Replicative
150,143,Replicative
151,144,Replicative
152,145,Replicative
153,146,Replicative
154,147,Replicative
155,148,Replicative
156,149,Replicative
157,150,Replicative
158,151,Oncogene-induced
159,152,Replicative
160,153,Replicative
161,154,Replicative
162,155,Replicative
163,156,Replicative
164,157,Replicative
165,157,Stress-induced
166,158,Replicative
167,159,Replicative
168,160,Replicative
169,161,Stress-induced
170,162,Replicative
171,163,Oncogene-induced
172,164,Stress-induced
173,165,Replicative
174,166,Replicative
175,167,Stress-induced
176,167,Replicative
177,168,Replicative
178,169,Replicative
179,170,Replicative
180,171,Replicative
181,172,Replicative
182,172,Oncogene-induced
183,173,Replicative
184,174,Replicative
185,175,Replicative
186,176,Stress-induced
187,177,Stress-induced
188,178,Replicative
189,179,Replicative
190,180,Replicative
191,181,Oncogene-induced
192,181,Replicative
193,182,Replicative
194,183,Replicative
195,184,Oncogene-induced
196,185,Replicative
197,186,Replicative
198,187,Replicative
199,188,Replicative
200,189,Replicative
201,190,Replicative
202,191,Replicative
203,192,Stress-induced
204,193,Replicative
205,194,Replicative
206,195,Replicative
207,196,Replicative
208,197,Replicative
209,198,Replicative
210,199,Replicative
211,200,Replicative
212,201,Oncogene-induced
213,202,Stress-induced
214,203,Replicative
215,204,Replicative
216,205,Replicative
217,206,Replicative
218,207,Replicative
219,208,Replicative
220,209,Replicative
221,210,Replicative
222,211,Replicative
223,212,Replicative
224,213,Replicative
225,214,Oncogene-induced
226,215,Replicative
227,216,Replicative
228,217,Replicative
229,218,Replicative
230,219,Replicative
231,220,Replicative
232,221,Replicative
233,222,Replicative
234,223,Replicative
235,224,Replicative
236,225,Replicative
237,226,Replicative
238,227,Replicative
239,228,Replicative
240,228,Oncogene-induced
241,229,Replicative
242,230,Replicative
243,231,Replicative
244,232,Replicative
245,233,Oncogene-induced
246,234,Replicative
247,235,Replicative
248,236,Stress-induced
249,237,Replicative
250,238,Oncogene-induced
251,239,Replicative
252,240,Replicative
253,241,Replicative
254,242,Oncogene-induced
255,243,Replicative
256,244,Stress-induced
257,245,Replicative
258,246,Replicative
259,247,Replicative
260,248,Replicative
261,249,Replicative
262,250,Replicative
263,251,Replicative
264,252,Replicative
265,253,Replicative
266,254,Replicative
267,255,Replicative
268,256,Replicative
269,257,Replicative
270,258,Replicative
271,259,Stress-induced
272,259,Replicative
273,260,Oncogene-induced
274,261,Replicative
275,262,Replicative
276,263,Oncogene-induced
277,263,Replicative
278,264,Replicative
279,264,Stress-induced
280,265,Replicative
281,266,Replicative
282,267,Oncogene-induced
283,268,Replicative
284,269,Replicative
285,270,Replicative
286,271,Oncogene-induced
287,272,Oncogene-induced
288,273,Stress-induced
289,274,Replicative
290,275,Replicative
291,276,Stress-induced
292,277,Replicative
293,278,Replicative
294,279,Replicative