ref_id,hagr_id,pubmed_id
1,1,25367309
2,2,26583757
3,3,21223585
4,4,26583757
5,5,21182935
6,6,16908765
7,7,17045205
8,8,17164141
9,9,24244503
10,10,21628992
11,11,15621527
12,12,26683595
13,13,23935871
14,14,9312059
15,15,23324396
16,16,26583757
17,17,25412315
18,18,18025081
19,19,11914273
20,18,22844531
21,20,26583757
22,21,21099244
23,22,12482990
24,23,16079850
25,24,20660729
26,25,19372557
27,26,22020331
28,27,25336634
29,28,15263006
30,29,14647293
31,30,17332741
32,31,7698220
33,32,23324396
34,33,26583757
35,34,25785833
36,35,12082615
37,36,12082615
38,37,9242615
39,38,22705236
40,39,9512419
41,40,9607312
42,41,19001376
43,42,10939591
44,43,20160010
45,44,25772238
46,45,20716119
47,46,26583757
48,47,19141477
49,48,23324396
50,49,21278790
51,50,16442104
52,51,17060621
53,52,20351176
54,53,20526329
55,54,16254365
56,55,23773483
57,56,15577914
58,57,26833729
59,58,24990949
60,59,23872946
61,60,16604064
62,61,26381291
63,62,10594030
64,63,17627613
65,64,20211237
66,65,23324396
67,66,24815188
68,67,11234019
69,68,11234019
70,69,21030557
71,71,24588771
72,70,26583757
73,72,16357137
74,74,1560044
75,73,25071344
76,75,15741276
77,76,27606879
78,77,10980404
79,78,21749859
80,79,25344918
81,80,26404840
82,81,17092487
83,82,16626397
84,83,26583757
85,84,26414199
86,85,21420382
87,86,18845560
88,87,23292286
89,88,18852884
90,89,26583757
91,90,25051367
92,91,9054499
93,92,24756776
94,93,18089808
95,94,12177246
96,95,24122992
97,96,22392074
98,97,19071156
99,98,18329388
100,99,21820463
101,100,17804819
102,101,2218499
103,102,18555777
104,103,18691180
105,104,16024799
106,105,16513254
107,106,18505922
108,107,18505922
109,109,17964297
110,108,26583757
111,110,26583757
112,111,23472054
113,112,20841375
114,113,23168260
115,114,2335454
116,115,18559589
117,116,17014852
118,117,23324396
119,118,23324396
120,119,15791002
121,120,24971481
122,121,26206181
123,122,26583757
124,123,22117195
125,124,26206181
126,125,22170163
127,126,26206181
128,127,14701721
129,128,23324396
130,129,9765203
131,130,12208764
132,131,26583757
133,132,26583757
134,133,23324396
135,135,26583757
136,134,26583757
137,136,17254968
138,137,20103533
139,138,12581156
140,139,26583757
141,140,26583757
142,141,22451485
143,142,22971926
144,143,22563078
145,144,20065105
146,145,26583757
147,146,17510426
148,148,9891081
149,147,17332504
150,149,12761891
151,150,26583757
152,151,16537449
153,153,26583757
154,152,23324396
155,154,26795560
156,155,24302615
157,156,23324396
158,157,22851694
159,158,21099361
160,159,20068043
161,160,15464245
162,161,23610446
163,162,20523116
164,163,25328137
165,162,23216904
166,164,24265816
167,165,19927127
168,166,21047732
169,167,26206181
170,168,22052190
171,169,26583757
172,170,20660729
173,171,17151361
174,172,25655101
175,173,26583757
176,174,18639375
177,175,26583757
178,176,23814485
179,177,17389721
180,178,16793547
181,179,26583757
182,180,23324396
183,181,25040935
184,182,19197340
185,183,26583757
186,184,10910364
187,185,12721301
188,186,26583757
189,187,15657433
190,188,22746537
191,189,24674756
192,190,19544416
193,191,22987071
194,192,25412309
195,193,19279193
196,194,23291986
197,195,16388800
198,196,24393841
199,197,21445100
200,198,20452981
201,199,19732767
202,200,26529363
203,201,9765202
204,202,24231354
205,203,19850045
206,204,19509229
207,205,17130839
208,206,19584160
209,207,18678645
210,208,19448675
211,209,22341977
212,210,18616636
213,211,18616636
214,212,18616636
215,213,16862142
216,214,19642975
217,215,26583757
218,216,26230157
219,217,19654306
220,218,18320031
221,219,25819580
222,220,26500063
223,221,25384549
224,222,22964484
225,223,20697355
226,224,23324396
227,225,14604992
228,226,15574587
229,227,20397042
230,228,20005840
231,229,12871978
232,230,24165198
233,231,23451179
234,232,18201843
235,233,19219070
236,234,17225865
237,235,26527005
238,236,16204065
239,237,20615871
240,238,23478443
241,239,20536843
242,240,26583757
243,241,26583757
244,242,19210550
245,243,19293188
246,244,20729911
247,245,7544491
248,246,15781639
249,247,16539655
250,248,9454332
251,249,26439195
252,250,22012588
253,251,9032249
254,252,24165198
255,253,26021512
256,254,19466596
257,255,20675618
258,256,19435923
259,257,19898465
260,258,21811608
261,259,9275177
262,260,25160591
263,261,22555807
264,262,20074557
265,263,20656682
266,265,26583757
267,264,25382750
268,266,21325273
269,267,27160904
270,268,9160882
271,269,19951988
272,270,17643369
273,271,12842909
274,272,20972333
275,273,26802028
276,274,21795702
277,275,23576552
278,276,21671470
279,277,20157568
280,278,23085987
281,279,19583777