"id_biblio","pubmed","title","url","author","publisher","year","journal","volume","pages","editor","book_title","review"
0001,2647300,"A new role for a yeast transcriptional silencer gene, SIR2, in regulation of recombination in ribosomal DNA.",NULL,"Gottlieb S and Esposito RE",NULL,1989,"Cell","56","771-6",NULL,NULL,NULL
0002,11000115,"Requirement of NAD and SIR2 for life-span extension by calorie restriction in Saccharomyces cerevisiae.",NULL,"Lin SJ et al",NULL,2000,"Science","289","2126-8",NULL,NULL,NULL
0003,12213553,"Distinct roles of processes modulated by histone deacetylases Rpd3p, Hda1p, and Sir2p in life extension by caloric restriction in yeast.",NULL,"Jiang JC et al",NULL,2002,"Exp Gerontol","37","1023-30",NULL,NULL,NULL
0004,16311627,"Increased life span due to calorie restriction in respiratory-deficient yeast.",NULL,"Kaeberlein M et al",NULL,2005,"PLoS Genet","1","e69",NULL,NULL,NULL
0005,15328540,"Sir2-independent life span extension by calorie restriction in yeast.",NULL,"Kaeberlein M et al",NULL,2004,"PLoS Biol","2","E296",NULL,NULL,NULL
0006,16286010,"Sir2 blocks extreme life-span extension.",NULL,"Fabrizio P et al",NULL,2005,"Cell","123","655-67",NULL,NULL,NULL
0007,10521401,"The SIR2/3/4 complex and SIR2 alone promote longevity in Saccharomyces cerevisiae by two different mechanisms.",NULL,"Kaeberlein M et al",NULL,1999,"Genes Dev","13","2570-80",NULL,NULL,NULL
0008,15684413,"Substrate-specific activation of sirtuins by resveratrol.",NULL,"Kaeberlein M et al",NULL,2005,"J Biol Chem","280","17038-45",NULL,NULL,NULL
0009,12736687,"Nicotinamide and PNC1 govern lifespan extension by calorie restriction in Saccharomyces cerevisiae.",NULL,"Anderson RM et al",NULL,2003,"Nature","423","181-5",NULL,NULL,NULL
0010,14729974,"Nicotinamide clearance by Pnc1 directly regulates Sir2-mediated silencing and longevity.",NULL,"Gallo CM et al",NULL,2004,"Mol Cell Biol","24","1301-12",NULL,NULL,NULL
0011,14724176,"Calorie restriction extends yeast life span by lowering the level of NADH.",NULL,"Lin SJ et al",NULL,2004,"Genes Dev","18","12-6",NULL,NULL,NULL
0012,12124627,"Calorie restriction extends Saccharomyces cerevisiae lifespan by increasing respiration.",NULL,"Lin SJ et al",NULL,2002,"Nature","418","344-8",NULL,NULL,NULL
0013,11292860,"Regulation of longevity and stress resistance by Sch9 in yeast.",NULL,"Fabrizio P et al",NULL,2001,"Science","292","288-90",NULL,NULL,NULL
0014,16293764,"Regulation of yeast replicative life span by TOR and Sch9 in response to nutrients.",NULL,"Kaeberlein M et al",NULL,2005,"Science","310","1193-6",NULL,NULL,NULL
0015,18225956,"Life span extension by calorie restriction depends on Rim15 and transcription factors downstream of Ras/PKA, Tor, and Sch9.",NULL,"Wei M et al",NULL,2008,"PLoS Genet","4","e13",NULL,NULL,NULL
0016,11884393,"Manipulation of a nuclear NAD+ salvage pathway delays aging without altering steady-state NAD+ levels.",NULL,"Anderson RM et al",NULL,2002,"J Biol Chem","277","18881-90",NULL,NULL,NULL
0017,16051752,"HST2 mediates SIR2-independent life-span extension by calorie restriction.",NULL,"Lamming DW et al",NULL,2005,"Science","309","1861-4",NULL,NULL,NULL
0018,16741098,"Comment on ""HST2 mediates SIR2-independent life-span extension by calorie restriction"".",NULL,"Kaeberlein M et al",NULL,2006,"Science","312","1312; author reply 1312",NULL,NULL,NULL
0019,17129213,"Sirtuin-independent effects of nicotinamide on lifespan extension from calorie restriction in yeast.",NULL,"Tsuchiya M et al",NULL,2006,"Aging Cell","5","505-14",NULL,NULL,NULL
0020,16418483,"Extension of chronological life span in yeast by decreased TOR pathway signaling.",NULL,"Powers RW 3rd et al",NULL,2006,"Genes Dev","20","174-84",NULL,NULL,NULL
0021,17200108,"The dihydrolipoamide acetyltransferase is a novel metabolic longevity factor and is required for calorie restriction-mediated life span extension.",NULL,"Easlon E et al",NULL,2007,"J Biol Chem","282","6161-71",NULL,NULL,NULL
0022,12586694,"SOD2 functions downstream of Sch9 to extend longevity in yeast.",NULL,"Fabrizio P et al",NULL,2003,"Genetics","163","35-46",NULL,NULL,NULL
0023,14741356,"Chronological aging-independent replicative life span regulation by Msn2/Msn4 and Sod2 in Saccharomyces cerevisiae.",NULL,"Fabrizio P et al",NULL,2004,"FEBS Lett","557","136-42",NULL,NULL,NULL
0024,18381895,"The malate-aspartate NADH shuttle components are novel metabolic longevity regulators required for calorie restriction-mediated life span extension in yeast.",NULL,"Easlon E et al",NULL,2008,"Genes Dev","22","931-44",NULL,NULL,NULL
0025,19239415,"NQR1 controls lifespan by regulating the promotion of respiratory metabolism in yeast.",NULL,"JimÃ©nez-Hidalgo M et al",NULL,2009,"Aging Cell","8","140-51",NULL,NULL,NULL
0026,19805817,"Deleting the 14-3-3 protein Bmh1 extends life span in Saccharomyces cerevisiae by increasing stress response.",NULL,"Wang C et al",NULL,2009,"Genetics","183","1373-84",NULL,NULL,NULL
0027,19303850,"Protein acetylation microarray reveals that NuA4 controls key metabolic target regulating gluconeogenesis.",NULL,"Lin YY et al",NULL,2009,"Cell","136","1073-84",NULL,NULL,NULL
0028,18423200,"Yeast life span extension by depletion of 60s ribosomal subunits is mediated by Gcn4.",NULL,"Steffen KK et al",NULL,2008,"Cell","133","292-302",NULL,NULL,NULL
0029,18840459,"Glutathione is necessary to ensure benefits of calorie restriction during ageing in Saccharomyces cerevisiae.",NULL,"Mannarino SC et al",NULL,2008,"Mech Ageing Dev","129","700-5",NULL,NULL,NULL
0030,18690010,"A life-span extending form of autophagy employs the vacuole-vacuole fusion machinery.",NULL,"Tang F et al",NULL,2008,"Autophagy","4","874-86",NULL,NULL,NULL
0031,19732046,"Calorie restriction reduces rDNA recombination independently of rDNA silencing.",NULL,"Riesen M and Morgan A",NULL,2009,"Aging Cell","8","624-32",NULL,NULL,NULL
0032,20421943,"A microarray-based genetic screen for yeast chronological aging factors.",NULL,"Matecic M et al",NULL,2010,"PLoS Genet","6","e1000921",NULL,NULL,NULL
0033,18679056,"Transcriptional response according to strength of calorie restriction in Saccharomyces cerevisiae.",NULL,"Lee YL and Lee CK",NULL,2008,"Mol Cells","26","299-307",NULL,NULL,NULL
0034,19266076,"Pro-aging effects of glucose signaling through a G protein-coupled glucose receptor in fission yeast.",NULL,"Roux AE et al",NULL,2009,"PLoS Genet","5","e1000408",NULL,NULL,NULL
0035,20075862,"Lifespan extension by calorie restriction relies on the Sty1 MAP kinase stress pathway.",NULL,"Zuin A et al",NULL,2010,"EMBO J","29","981-91",NULL,NULL,NULL
0036,16720740,"daf-16 protects the nematode Caenorhabditis elegans during food deprivation.",NULL,"Henderson ST et al",NULL,2006,"J Gerontol A Biol Sci Med Sci","61","444-60",NULL,NULL,NULL
0037,17900900,"An AMPK-FOXO pathway mediates longevity induced by a novel method of dietary restriction in C. elegans.",NULL,"Greer EL et al",NULL,2007,"Curr Biol","17","1646-56",NULL,NULL,NULL
0038,17538612,"Two neurons mediate diet-restriction-induced longevity in C. elegans.",NULL,"Bishop NA and Guarente L",NULL,2007,"Nature","447","545-9",NULL,NULL,NULL
0039,18331616,"Dietary restriction suppresses proteotoxicity and enhances longevity by an hsf-1-dependent mechanism in Caenorhabditis elegans.",NULL,"Steinkraus KA et al",NULL,2008,"Aging Cell","7","394-404",NULL,NULL,NULL
0040,19079239,"Signalling through RHEB-1 mediates intermittent fasting-induced longevity in C. elegans.",NULL,"Honjoh S et al",NULL,2009,"Nature","457","726-30",NULL,NULL,NULL
0041,19883616,"Glucose shortens the life span of C. elegans by downregulating DAF-16/FOXO activity and aquaporin gene expression.",NULL,"Lee SJ et al",NULL,2009,"Cell Metab","10","379-91",NULL,NULL,NULL
0042,19239417,"Different dietary restriction regimens extend lifespan by both independent and overlapping genetic pathways in C. elegans.",NULL,"Greer EL and Brunet A",NULL,2009,"Aging Cell","8","113-27",NULL,NULL,NULL
0043,19924292,"Role of CBP and SATB-1 in aging, dietary restriction, and insulin-like signaling.",NULL,"Zhang M et al",NULL,2009,"PLoS Biol","7","e1000245",NULL,NULL,NULL
0044,9789046,"The genetics of caloric restriction in Caenorhabditis elegans.",NULL,"Lakowski B and Hekimi S",NULL,1998,"Proc Natl Acad Sci U S A","95","13091-6",NULL,NULL,NULL
0045,16103914,"New genes tied to endocrine, metabolic, and dietary regulation of lifespan from a Caenorhabditis elegans genomic RNAi screen.",NULL,"Hansen M et al",NULL,2005,"PLoS Genet","1","119-28",NULL,NULL,NULL
0046,16860373,"C. elegans 14-3-3 proteins regulate life span and interact with SIR-2.1 and DAF-16/FOXO.",NULL,"Wang Y et al",NULL,2006,"Mech Ageing Dev","127","741-7",NULL,NULL,NULL
0047,11242085,"Increased dosage of a sir-2 gene extends lifespan in Caenorhabditis elegans.",NULL,"Tissenbaum HA and Guarente L",NULL,2001,"Nature","410","227-30",NULL,NULL,NULL
0048,17266679,"Lifespan extension by conditions that inhibit translation in Caenorhabditis elegans.",NULL,"Hansen M et al",NULL,2007,"Aging Cell","6","95-110",NULL,NULL,NULL
0049,17476212,"PHA-4/Foxa mediates diet-restriction-induced longevity of C. elegans.",NULL,"Panowski SH et al",NULL,2007,"Nature","447","550-5",NULL,NULL,NULL
0050,17912023,"Autophagy is required for dietary restriction-mediated life span extension in C. elegans.",NULL,"Jia K and Levine B",NULL,2007,"Autophagy","3","597-9",NULL,NULL,NULL
0051,18282106,"A role for autophagy in the extension of lifespan by dietary restriction in C. elegans.",NULL,"Hansen M et al",NULL,2008,"PLoS Genet","4","e24",NULL,NULL,NULL
0052,12750521,"Regulation of aging and age-related disease by DAF-16 and heat-shock factor.",NULL,"Hsu AL et al",NULL,2003,"Science","300","1142-5",NULL,NULL,NULL
0053,19372390,"Proteasomal regulation of the hypoxic response modulates aging in C. elegans.",NULL,"Mehta R et al",NULL,2009,"Science","324","1196-8",NULL,NULL,NULL
0054,19461873,"HIF-1 modulates dietary restriction-mediated lifespan extension via IRE-1 in Caenorhabditis elegans.",NULL,"Chen D et al",NULL,2009,"PLoS Genet","5","e1000486",NULL,NULL,NULL
0055,19553937,"A conserved ubiquitination pathway determines longevity in response to diet restriction.",NULL,"Carrano AC et al",NULL,2009,"Nature","460","396-9",NULL,NULL,NULL
0056,17023606,"Delayed development and lifespan extension as features of metabolic lifestyle alteration in C. elegans under dietary restriction.",NULL,"Szewczyk NJ et al",NULL,2006,"J Exp Biol","209","4129-39",NULL,NULL,NULL
0057,19783783,"Life-span extension by dietary restriction is mediated by NLP-7 signaling and coelomocyte endocytosis in C. elegans.",NULL,"Park SK et al",NULL,2010,"FASEB J","24","383-92",NULL,NULL,NULL
0058,19812672,"Prohibitin couples diapause signalling to mitochondrial metabolism during ageing in C. elegans.",NULL,"Artal-Sanz M and Tavernarakis N",NULL,2009,"Nature","461","793-7",NULL,NULL,NULL
0059,1638786,"The future of academic medicine within the health care system in Canada.",NULL,"Bouchard B",NULL,1992,"Clin Invest Med","15","197-203",NULL,NULL,NULL
0060,12459580,"Longevity regulation by Drosophila Rpd3 deacetylase and caloric restriction.",NULL,"Rogina B et al",NULL,2002,"Science","298","1745",NULL,NULL,NULL
0061,17272684,"Regulation of Drosophila life span by olfaction and food-derived odors.",NULL,"Libert S et al",NULL,2007,"Science","315","1133-7",NULL,NULL,NULL
0062,11292874,"Extension of life-span by loss of CHICO, a Drosophila insulin receptor substrate protein.",NULL,"Clancy DJ et al",NULL,2001,"Science","292","104-6",NULL,NULL,NULL
0063,11951037,"Dietary restriction in long-lived dwarf flies.",NULL,"Clancy DJ et al",NULL,2002,"Science","296","319",NULL,NULL,NULL
0064,15186745,"Regulation of lifespan in Drosophila by modulation of genes in the TOR signaling pathway.",NULL,"Kapahi P et al",NULL,2004,"Curr Biol","14","885-90",NULL,NULL,NULL
0065,15520384,"Sir2 mediates longevity in the fly through a pathway related to calorie restriction.",NULL,"Rogina B and Helfand SL",NULL,2004,"Proc Natl Acad Sci U S A","101","15998-6003",NULL,NULL,NULL
0066,19470468,"Long-lived Indy and calorie restriction interact to extend life span.",NULL,"Wang PY et al",NULL,2009,"Proc Natl Acad Sci U S A","106","9262-7",NULL,NULL,NULL
0067,18241326,"Role of dFOXO in lifespan extension by dietary restriction in Drosophila melanogaster: not required, but its activity modulates the response.",NULL,"Giannakou ME et al",NULL,2008,"Aging Cell","7","187-98",NULL,NULL,NULL
0068,16055649,"Starvation and oxidative stress resistance in Drosophila are mediated through the eIF4E-binding protein, d4E-BP.",NULL,"Tettweiler G et al",NULL,2005,"Genes Dev","19","1840-3",NULL,NULL,NULL
0069,19804760,"4E-BP extends lifespan upon dietary restriction by enhancing mitochondrial activity in Drosophila.",NULL,"Zid BM et al",NULL,2009,"Cell","139","149-60",NULL,NULL,NULL
0070,16303568,"Neuronal expression of p53 dominant-negative proteins in adult Drosophila melanogaster extends life span.",NULL,"Bauer JH et al",NULL,2005,"Curr Biol","15","2063-8",NULL,NULL,NULL
0071,20195512,"Molecular evolution and functional characterization of Drosophila insulin-like peptides.",NULL,"GrÃ¶nke S et al",NULL,2010,"PLoS Genet","6","e1000857",NULL,NULL,NULL
0072,16682650,"Targeted disruption of growth hormone receptor interferes with the beneficial actions of calorie restriction.",NULL,"Bonkowski MS et al",NULL,2006,"Proc Natl Acad Sci U S A","103","7901-5",NULL,NULL,NULL
0073,21584246,"Identification of potential calorie restriction-mimicking yeast mutants with increased mitochondrial respiratory chain and nitric oxide levels.",NULL,"Li et al",NULL,2011,"J Aging Res","2011",NULL,NULL,NULL,NULL
0074,16530049,"SMK-1, an essential regulator of DAF-16-mediated longevity.",NULL,"Wolff et al",NULL,2006,"Cell","124","1039-1053",NULL,NULL,NULL
0075,16822282,"Regulation of chronological aging in Schizosaccharomyces pombe by the protein kinases Pka1 and Sck2.",NULL,"Roux et al",NULL,2006,"Aging Cell","5","345-357",NULL,NULL,NULL
0076,11336996,"Evidence that age-induced decline in memory retention is delayed in growth hormone resistant GH-R-KO (Laron) mice.",NULL,"Kinney et al",NULL,2001,"Physiol. Behav.","72","653-660",NULL,NULL,NULL
0077,9371826,"A mammalian model for Laron syndrome produced by targeted disruption of the mouse growth hormone receptor/binding protein gene (the Laron mouse).",NULL,"Zhou et al",NULL,1997,"Proc. Natl. Acad. Sci. U.S.A.","94","13215-13220",NULL,NULL,NULL
0078,12933651,"Deletion, but not antagonism, of the mouse growth hormone receptor results in severely decreased body weights, insulin, and insulin-like growth factor I levels and increased life span.",NULL,"Coschigano et al",NULL,2003,"Endocrinology","144","3799-3810",NULL,NULL,NULL
0079,10875265,"Assessment of growth parameters and life span of GHR/BP gene-disrupted mice.",NULL,"Coschigano et al",NULL,2000,"Endocrinology","141","2608-2613",NULL,NULL,NULL
0080,19747233,"The growth hormone receptor gene-disrupted mouse fails to respond to an intermittent fasting diet.",NULL,"Arum et al",NULL,2009,"Aging Cell","8","756-760",NULL,NULL,NULL
0081,21123740,"Endocrine parameters and phenotypes of the growth hormone receptor gene disrupted (GHR-/-) mouse.",NULL,"List et al",NULL,2011,"Endocr. Rev.","32","356-386",NULL,NULL,NULL
0082,19370397,"Nicotinamide adenine dinucleotide extends the lifespan of Caenorhabditis elegans mediated by sir-2.1 and daf-16.",NULL,"Hashimoto et al",NULL,2010,"Biogerontology","11","31-43",NULL,NULL,NULL
0083,18219227,"Longevity pathways converge on autophagy genes to regulate life span in Caenorhabditis elegans.",NULL,"Tóth et al",NULL,2008,"Autophagy","4","330-338",NULL,NULL,NULL
0084,12391171,"High osmolarity extends life span in Saccharomyces cerevisiae by a mechanism related to calorie restriction.",NULL,"Kaeberlein et al",NULL,2002,"Mol. Cell. Biol.","22","8056-8066",NULL,NULL,NULL
0085,18662544,"An elt-3/elt-5/elt-6 GATA transcription circuit guides aging in C. elegans.",NULL,"Budovskaya et al",NULL,2008,"Cell","134","291-303",NULL,NULL,NULL
0086,21884982,"Life span extension and H(2)O(2) resistance elicited by caloric restriction require the peroxiredoxin Tsa1 in Saccharomyces cerevisiae.",NULL,"Molin et al",NULL,2011,"Mol. Cell","43","823-833",NULL,NULL,NULL
0087,14668486,"Regulation of longevity in Caenorhabditis elegans by heat shock factor and molecular chaperones.",NULL,"Morley and Morimoto",NULL,2004,"Mol. Biol. Cell","15","657-664",NULL,NULL,NULL
0088,22737090,"An Engineering Approach to Extending Lifespan in C. elegans.",NULL,"Sagi and Kim",NULL,2012,"PLoS Genet.","8",NULL,NULL,NULL,NULL
0089,12136014,"Genetic analysis of tissue aging in Caenorhabditis elegans: a role for heat-shock factor and bacterial proliferation.",NULL,"Garigan et al",NULL,2002,"Genetics","161","1101-1112",NULL,NULL,NULL
0090,21930912,"Increased transsulfuration mediates longevity and dietary restriction in Drosophila.",NULL,"Kabil et al",NULL,2011,"Proc. Natl. Acad. Sci. U.S.A.","108","16831-16836",NULL,NULL,NULL
0091,17403371,"Reduced TOR signaling extends chronological life span via increased respiration and upregulation of mitochondrial gene expression.",NULL,"Bonawitz et al",NULL,2007,"Cell Metab.","5","265-277",NULL,NULL,NULL
0092,20947565,"Rapamycin increases rDNA stability by enhancing association of Sir2 with rDNA in Saccharomyces cerevisiae.",NULL,"Ha and Huh",NULL,2011,"Nucleic Acids Res.","39","1336-1350",NULL,NULL,NULL
